# Rime user dictionary
#@/db_name	jyutping.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1656
#@/user_id	yongli-macbookpro
aa 	呀	c=6 d=0.724768 t=1656
gaang dyun 	更段	c=1 d=0.0043831 t=1656
gaau 	交	c=1 d=0.0689068 t=1656
gaau 	搞	c=3 d=0.116828 t=1656
gaau ding 	搞定	c=1 d=0.0958472 t=1656
gaau jau 	郊遊	c=1 d=0.715338 t=1656
gaau zai 	交際	c=1 d=0.000403635 t=1656
gai zuk 	繼續	c=2 d=0.119388 t=1656
gam gok 	感覺	c=1 d=0.00292342 t=1656
gam jat 	今日	c=2 d=0.184881 t=1656
gam jung 	金融	c=2 d=0.127459 t=1656
gam tin 	今天	c=3 d=0.27535 t=1656
gan 	緊	c=3 d=0.0959243 t=1656
gan 	跟	c=4 d=0.333945 t=1656
gan bun 	根本	c=1 d=0.00740944 t=1656
gan gan 	僅僅	c=1 d=0.771052 t=1656
gang 	更	c=3 d=0.409918 t=1656
gang gaa 	更加	c=3 d=0.269604 t=1656
gat faan 	吃飯	c=1 d=0.0784731 t=1656
gau 	九	c=1 d=0.0104621 t=1656
gau 	救	c=1 d=0.733447 t=1656
gau 	購	c=1 d=0.909373 t=1656
gau maai 	購買	c=1 d=0.0692522 t=1656
gau zai 	救濟	c=1 d=0.0193512 t=1656
ge 	嘅	c=7 d=1.63916 t=1656
gei 	幾	c=3 d=0.0135917 t=1656
gei cou 	記錯	c=1 d=0.071719 t=1656
gei dak 	記得	c=1 d=0.00168667 t=1656
gei dim 	幾點	c=1 d=0.311923 t=1656
gei jik 	記憶	c=1 d=0.00112497 t=1656
gei jin 	既然	c=1 d=0.19593 t=1656
gei leot 	紀律	c=2 d=0.0407897 t=1656
gei piu 	機票	c=4 d=0.48858 t=1656
gei syun gei 	計算機	c=1 d=0.075774 t=1656
gei tin 	幾天	c=1 d=0.0480747 t=1656
geoi paa 	懼怕	c=2 d=1.29459 t=1656
gim caa 	檢查	c=1 d=0.955997 t=1656
gin 	見	c=1 d=0.0932394 t=1656
gin 	鍵	c=1 d=0.000596161 t=1656
gin jan 	堅忍	c=1 d=0.606531 t=1656
ging hung 	驚恐	c=1 d=0.818731 t=1656
ging kei 	驚奇	c=1 d=0.0198411 t=1656
ging ngaa 	驚訝	c=1 d=0.0197421 t=1656
git baa 	結巴	c=1 d=0.00216573 t=1656
git gwo 	結果	c=1 d=0.066205 t=1656
go 	個	c=1 d=0.00158844 t=1656
go 	歌	c=1 d=0.124307 t=1656
gok jau 	各有	c=1 d=0.0109436 t=1656
gok ng 	覺悟	c=1 d=0.0988808 t=1656
gok ng zi 	覺悟寺	c=1 d=0.00115345 t=1656
gon gan 	趕緊	c=2 d=0.000973755 t=1656
gong 	剛	c=1 d=0.0724398 t=1656
gong 	講	c=4 d=0.376493 t=1656
gong gong 	剛剛	c=1 d=0.0448245 t=1656
gou 	高	c=3 d=0.345047 t=1656
gou ci 	告辭	c=1 d=0.985112 t=1656
gou gu 	高估	c=1 d=0.603506 t=1656
gou hing 	高興	c=1 d=0.722527 t=1656
gu sou 	姑蘇	c=1 d=0.355226 t=1656
gu zap 	固執	c=2 d=0.00248065 t=1656
guk 	谷	c=1 d=0.0057994 t=1656
gun 	管	c=1 d=0.0120946 t=1656
gung cong 	工廠	c=1 d=0.790571 t=1656
gung gaau ce 	公交車	c=1 d=0.00634556 t=1656
gung hei 	恭喜	c=2 d=0.0358163 t=1656
gung jan 	公認	c=1 d=0.00932553 t=1656
gung si 	公司	c=1 d=0.0407622 t=1656
gung zok 	工作	c=1 d=0.0520787 t=1656
gwaan hai 	關係	c=2 d=0.0361558 t=1656
gwaan zyu 	關注	c=1 d=0.00653881 t=1656
gwai bing 	歸併	c=0 d=0.022091 t=1656
gwai bing jap 	歸併入	c=1 d=0.222017 t=1656
gwai gaa 	歸家	c=2 d=0.00517387 t=1656
gwo 	過	c=3 d=0.136718 t=1656
gwo cing 	過程	c=1 d=0.390628 t=1656
gwok 	國	c=2 d=0.298209 t=1656
gwok zai 	國際	c=1 d=0.293758 t=1656
gwong 	光	c=1 d=0.514274 t=1656
gwong dung waa 	廣東話	c=2 d=0.35197 t=1656
gwong fu 	廣府	c=1 d=0.000584356 t=1656
gwong gou 	廣告	c=1 d=0.0269169 t=1656
